title,imageLink,link,price
"Плата расширения Raspberry PI 3, Orange PI и Banana PI",https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/58/fe/58fe244ede5a2b82c7b41eecaa274056.jpg,https://amperkot.ru/products/plata_rasshireniya_raspberry_pi_3_orange_pi_i_banana_pi/39785639.html,410 руб.
Плата Banana Pi R2,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/da/ee/daeef69313966c1af1afd14fda010c81.jpg,https://amperkot.ru/products/plata_banana_pi_r2/39166733.html,9 200 руб.
Плата Banana Pi R64,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/77/0a/770abac8dac0a9dfc1dd49eda9078c09.jpg,https://amperkot.ru/products/plata_banana_pi_r64/39166737.html,8 760 руб.
Корпус Banana Pi R2,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/83/9b/839b339cc023dc9c04af28c601e7fed1.jpg,https://amperkot.ru/products/korpus_banana_pi_r2/39166736.html,1 620 руб.
Корпус Banana Pi R64 акриловый,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/35/6b/356bec90e60855dc9b85116358a92fa2.jpg,https://amperkot.ru/products/korpus_banana_pi_r64_akrilovyiy/39973641.html,610 руб.
Мини-компьютер Banana Pi   M2M,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/75/de/75de18b5620f37d5a10a5ef7f5e7ec53.jpg,https://amperkot.ru/products/minikompyuter_banana_pi___m2m/39406383.html,3 080 руб.
Акриловый корпус для Banana Pi W2,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/ae/6c/ae6cfa68817a7f01fb91bd21cea4c543.jpg,https://amperkot.ru/products/akrilovyiy_korpus_dlya_banana_pi_w2/40179041.html,860 руб.
Мини-компьютер Banana Pi   M64,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/36/76/36764c10daa0eee3eb00d55062bec825.jpg,https://amperkot.ru/products/minikompyuter_banana_pi___m64/39406384.html,5 500 руб.
Мини-компьютер Banana Pi  W2,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/1c/1d/1c1d6f5fd71ae12be3c72f8cecfdc2d4.png,https://amperkot.ru/products/minikompyuter_banana_pi__w2/39406388.html,8 870 руб.
Корпус Banana Pi R64  металлический,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/64/b3/64b305fc3114edd3e66de154deda0cfa.jpg,https://amperkot.ru/products/korpus_banana_pi_r64__metallicheskiy/39973640.html,1 495 руб.
Корпус для Banana Pi R2 Pro,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/d9/f1/d9f1fef82e0dbeaaadd46d1c1a9964e4.jpg,https://amperkot.ru/products/korpus_dlya_banana_pi_r2_pro/40179036.html,1 720 руб.
Блок питания Banana Pi 12V/2A,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/4d/bb/4dbbb4277d7f765f40535ddd3b7befd0.jpg,https://amperkot.ru/products/blok_pitaniya_banana_pi_12v_2a/39973573.html,720 руб.
Мини-компьютер Banana Pi BPI-M3,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/1e/db/1edb6b49e48e60da9dc2df4c33601a6f.jpg,https://amperkot.ru/products/minikompyuter_banana_pi_bpim3/39168376.html,5 740 руб.
Мини-компьютер Banana Pi BPI-M1,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/19/1a/191af7a5954da1642bc3b26b5a69b0ba.jpg,https://amperkot.ru/products/minikompyuter_banana_pi_bpim1/39168371.html,3 420 руб.
Мини-компьютер Banana Pi  M2 Berry,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/bc/a0/bca0610bf3424269b2150fa74ae0dda5.png,https://amperkot.ru/products/minikompyuter_banana_pi__m2_berry/39406385.html,5 400 руб.
Мини-компьютер Banana Pi R2 Pro,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/0b/59/0b594cb798dbd408a5caa2797b58c544.jpg,https://amperkot.ru/products/minikompyuter_banana_pi_r2_pro/39963432.html,9 480 руб.
Мини-компьютер Banana Pi BPI-M5,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/45/38/4538c15b1304879365bcf843c0ee00e6.jpg,https://amperkot.ru/products/minikompyuter_banana_pi_bpim5/39406392.html,7 285 руб.
Мини-компьютер Banana Pi BPI-M4 (1GB),https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/e7/89/e7899c263ad3208e29061637c39d1fc5.jpg,https://amperkot.ru/products/minikompyuter_banana_pi_bpim4__1gb/39168377.html,5 010 руб.
"Мини-компьютер Banana Pi M2+, M2 plus",https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/90/6d/906decb98cfb1f837fefd6c7ba6a037e.jpg,https://amperkot.ru/products/minikompyuter_banana_pi_m2_m2_plus/24289210.html,4 220 руб.
Корпус для микрокомпьютера Banana Pi M4 или M5 акриловый,https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/private/products/ec/ee/ecee89b0f2aab585294ce6204eb5fe27.jpg,https://amperkot.ru/products/korpus_dlya_mikrokompyutera_banana_pi_m4_ili_m5_akrilovyiy/40102318.html,670 руб.
"Мини-компьютер Banana Pi M1+, M1 plus",https://data.outofbox.ru/static/i/kn1/3236/ofb-small-220/products/f6/2f/f62fa57cbe3a8752edf3d3400a7a08c3.jpg,https://amperkot.ru/products/minikompyuter_banana_pi_m1_m1_plus/24289211.html,3 595 руб.
